asset,indicator,params,rendement_net_pct,profit_factor,max_drawdown_pct,win_rate_pct,nb_trades
SOL/USD,Bollinger_Reversion,"{'window': 30, 'alpha': 2.0}",-77.53,0.34,-85.52,54.55,22
SOL/USD,Bollinger_Reversion,"{'window': 30, 'alpha': 2.5}",-63.13,0.36,-80.84,38.46,13
SOL/USD,Ichimoku,"{'tenkan': 7, 'kijun': 22, 'senkou': 44}",3.1,1.02,-65.77,26.67,15
SOL/USD,Ichimoku,"{'tenkan': 9, 'kijun': 26, 'senkou': 52}",-40.01,0.58,-51.39,18.18,11
SOL/USD,Ichimoku,"{'tenkan': 12, 'kijun': 30, 'senkou': 60}",27.01,1.4,-38.86,50.0,8
XRP/USD,SMA_Cross,"{'fast': 10, 'slow': 50}",66.2,1.34,-55.34,25.0,16
XRP/USD,SMA_Cross,"{'fast': 10, 'slow': 100}",86.09,1.91,-46.68,22.22,9
XRP/USD,SMA_Cross,"{'fast': 10, 'slow': 150}",94.25,2.83,-45.98,16.67,6
XRP/USD,SMA_Cross,"{'fast': 20, 'slow': 50}",132.2,1.89,-45.29,41.67,12
XRP/USD,SMA_Cross,"{'fast': 20, 'slow': 100}",77.77,2.1,-48.55,28.57,7
XRP/USD,SMA_Cross,"{'fast': 20, 'slow': 150}",68.32,2.19,-51.76,25.0,4
