asset,indicator,params,rendement_net_pct,profit_factor,max_drawdown_pct,win_rate_pct,nb_trades
ETH/USD,RSI_Reversal,"{'window': 7, 'lower': 30, 'upper': 75}",-86.0,0.4,-90.91,50.0,44
ETH/USD,RSI_Reversal,"{'window': 7, 'lower': 30, 'upper': 80}",-74.54,0.58,-83.84,61.54,39
ETH/USD,RSI_Reversal,"{'window': 7, 'lower': 35, 'upper': 65}",-90.87,0.41,-94.18,35.14,74
ETH/USD,RSI_Reversal,"{'window': 7, 'lower': 35, 'upper': 70}",-92.03,0.42,-94.92,35.48,62
ETH/USD,RSI_Reversal,"{'window': 7, 'lower': 35, 'upper': 75}",-89.99,0.4,-93.56,36.73,49
ETH/USD,RSI_Reversal,"{'window': 7, 'lower': 35, 'upper': 80}",-80.87,0.59,-87.95,47.5,40
ETH/USD,RSI_Reversal,"{'window': 10, 'lower': 20, 'upper': 65}",-53.51,0.63,-64.91,45.83,24
ETH/USD,RSI_Reversal,"{'window': 10, 'lower': 20, 'upper': 70}",-67.85,0.46,-75.73,45.45,22
ETH/USD,RSI_Reversal,"{'window': 10, 'lower': 20, 'upper': 75}",-67.44,0.44,-74.96,52.38,21
ETH/USD,RSI_Reversal,"{'window': 10, 'lower': 20, 'upper': 80}",-50.01,0.65,-67.52,47.37,19
ETH/USD,RSI_Reversal,"{'window': 10, 'lower': 25, 'upper': 65}",-85.23,0.28,-88.32,45.16,31
ETH/USD,RSI_Reversal,"{'window': 10, 'lower': 25, 'upper': 70}",-90.01,0.2,-92.41,42.31,26
ETH/USD,RSI_Reversal,"{'window': 10, 'lower': 25, 'upper': 75}",-87.81,0.21,-90.65,45.83,24
ETH/USD,RSI_Reversal,"{'window': 10, 'lower': 25, 'upper': 80}",-79.42,0.35,-82.61,38.1,21
ETH/USD,RSI_Reversal,"{'window': 10, 'lower': 30, 'upper': 65}",-83.77,0.49,-87.51,42.5,40
ETH/USD,RSI_Reversal,"{'window': 10, 'lower': 30, 'upper': 70}",-89.52,0.36,-92.12,54.55,33
ETH/USD,RSI_Reversal,"{'window': 10, 'lower': 30, 'upper': 75}",-86.4,0.44,-89.67,51.72,29
ETH/USD,RSI_Reversal,"{'window': 10, 'lower': 30, 'upper': 80}",-82.8,0.47,-85.59,36.36,22
ETH/USD,RSI_Reversal,"{'window': 10, 'lower': 35, 'upper': 65}",-70.36,0.54,-81.33,52.17,46
ETH/USD,RSI_Reversal,"{'window': 10, 'lower': 35, 'upper': 70}",-79.54,0.41,-86.6,62.16,37
ETH/USD,RSI_Reversal,"{'window': 10, 'lower': 35, 'upper': 75}",-67.99,0.56,-80.79,63.64,33
ETH/USD,RSI_Reversal,"{'window': 10, 'lower': 35, 'upper': 80}",-60.81,0.61,-75.6,48.0,25
ETH/USD,RSI_Reversal,"{'window': 14, 'lower': 20, 'upper': 65}",20.18,1.27,-28.84,54.55,11
ETH/USD,RSI_Reversal,"{'window': 14, 'lower': 20, 'upper': 70}",23.9,1.39,-32.92,54.55,11
ETH/USD,RSI_Reversal,"{'window': 14, 'lower': 20, 'upper': 75}",27.17,1.48,-37.21,62.5,8
ETH/USD,RSI_Reversal,"{'window': 14, 'lower': 20, 'upper': 80}",103.7,2.75,-44.58,71.43,7
ETH/USD,RSI_Reversal,"{'window': 14, 'lower': 25, 'upper': 65}",23.1,1.21,-57.5,58.82,17
ETH/USD,RSI_Reversal,"{'window': 14, 'lower': 25, 'upper': 70}",-35.19,0.74,-64.89,50.0,14
ETH/USD,RSI_Reversal,"{'window': 14, 'lower': 25, 'upper': 75}",-23.24,0.82,-63.66,45.45,11
ETH/USD,RSI_Reversal,"{'window': 14, 'lower': 25, 'upper': 80}",-26.87,0.61,-55.38,44.44,9
ETH/USD,RSI_Reversal,"{'window': 14, 'lower': 30, 'upper': 65}",60.85,1.29,-71.11,64.52,31
ETH/USD,RSI_Reversal,"{'window': 14, 'lower': 30, 'upper': 70}",13.35,1.05,-71.11,62.5,24
ETH/USD,RSI_Reversal,"{'window': 14, 'lower': 30, 'upper': 75}",42.41,1.13,-68.93,55.56,18
ETH/USD,RSI_Reversal,"{'window': 14, 'lower': 30, 'upper': 80}",13.34,1.07,-74.36,53.85,13
ETH/USD,RSI_Reversal,"{'window': 14, 'lower': 35, 'upper': 65}",-41.53,0.76,-77.51,50.0,32
ETH/USD,RSI_Reversal,"{'window': 14, 'lower': 35, 'upper': 70}",-37.82,0.82,-77.51,60.0,25
ETH/USD,RSI_Reversal,"{'window': 14, 'lower': 35, 'upper': 75}",-33.62,0.87,-75.82,52.63,19
ETH/USD,RSI_Reversal,"{'window': 14, 'lower': 35, 'upper': 80}",-42.7,0.74,-76.44,46.15,13
ETH/USD,RSI_Reversal,"{'window': 21, 'lower': 20, 'upper': 65}",53.03,inf,-18.63,100.0,4
ETH/USD,RSI_Reversal,"{'window': 21, 'lower': 20, 'upper': 70}",60.17,inf,-18.63,100.0,4
ETH/USD,RSI_Reversal,"{'window': 21, 'lower': 20, 'upper': 75}",52.5,5.34,-44.58,66.67,3
ETH/USD,RSI_Reversal,"{'window': 21, 'lower': 20, 'upper': 80}",65.5,inf,-44.58,100.0,3
ETH/USD,RSI_Reversal,"{'window': 21, 'lower': 25, 'upper': 65}",39.8,4.81,-29.22,66.67,6
ETH/USD,RSI_Reversal,"{'window': 21, 'lower': 25, 'upper': 70}",62.53,9.36,-28.92,66.67,6
ETH/USD,RSI_Reversal,"{'window': 21, 'lower': 25, 'upper': 75}",55.22,2.71,-63.26,60.0,5
ETH/USD,RSI_Reversal,"{'window': 21, 'lower': 25, 'upper': 80}",74.43,6.1,-63.26,60.0,5
ETH/USD,RSI_Reversal,"{'window': 21, 'lower': 30, 'upper': 65}",-76.05,0.17,-81.86,30.0,10
ETH/USD,RSI_Reversal,"{'window': 21, 'lower': 30, 'upper': 70}",-65.56,0.28,-75.09,30.0,10
ETH/USD,RSI_Reversal,"{'window': 21, 'lower': 30, 'upper': 75}",-66.27,0.36,-74.4,50.0,6
ETH/USD,RSI_Reversal,"{'window': 21, 'lower': 30, 'upper': 80}",-66.94,0.21,-80.42,40.0,5
ETH/USD,RSI_Reversal,"{'window': 21, 'lower': 35, 'upper': 65}",-55.16,0.65,-74.32,52.94,17
ETH/USD,RSI_Reversal,"{'window': 21, 'lower': 35, 'upper': 70}",-43.57,0.73,-73.7,46.67,15
ETH/USD,RSI_Reversal,"{'window': 21, 'lower': 35, 'upper': 75}",-9.03,0.95,-70.76,60.0,10
ETH/USD,RSI_Reversal,"{'window': 21, 'lower': 35, 'upper': 80}",-4.17,0.97,-69.97,50.0,8
ETH/USD,Bollinger_Reversion,"{'window': 10, 'alpha': 1.5}",-68.74,0.61,-75.64,56.76,74
ETH/USD,Bollinger_Reversion,"{'window': 10, 'alpha': 2.0}",-75.02,0.36,-78.51,45.83,48
ETH/USD,Bollinger_Reversion,"{'window': 10, 'alpha': 2.5}",-41.06,0.17,-51.91,53.85,13
ETH/USD,Bollinger_Reversion,"{'window': 20, 'alpha': 1.5}",-51.57,0.75,-70.3,66.67,48
ETH/USD,Bollinger_Reversion,"{'window': 20, 'alpha': 2.0}",-53.27,0.69,-69.4,62.5,32
ETH/USD,Bollinger_Reversion,"{'window': 20, 'alpha': 2.5}",-60.69,0.46,-70.52,47.37,19
ETH/USD,Bollinger_Reversion,"{'window': 30, 'alpha': 1.5}",-76.96,0.58,-85.04,60.71,28
ETH/USD,Bollinger_Reversion,"{'window': 30, 'alpha': 2.0}",-75.35,0.38,-78.31,52.63,19
ETH/USD,Bollinger_Reversion,"{'window': 30, 'alpha': 2.5}",-77.54,0.2,-80.14,35.71,14
ETH/USD,Ichimoku,"{'tenkan': 7, 'kijun': 22, 'senkou': 44}",-25.08,0.65,-48.01,31.25,16
ETH/USD,Ichimoku,"{'tenkan': 9, 'kijun': 26, 'senkou': 52}",-2.32,0.97,-53.23,38.46,13
ETH/USD,Ichimoku,"{'tenkan': 12, 'kijun': 30, 'senkou': 60}",71.68,1.71,-32.64,46.15,13
SOL/USD,SMA_Cross,"{'fast': 10, 'slow': 50}",45.59,1.16,-76.11,36.36,22
SOL/USD,SMA_Cross,"{'fast': 10, 'slow': 100}",30.05,1.13,-66.51,22.22,18
SOL/USD,SMA_Cross,"{'fast': 10, 'slow': 150}",184.6,2.07,-54.75,30.0,10
SOL/USD,SMA_Cross,"{'fast': 20, 'slow': 50}",-37.9,0.85,-80.52,26.32,19
SOL/USD,SMA_Cross,"{'fast': 20, 'slow': 100}",-34.77,0.82,-75.1,21.43,14
SOL/USD,SMA_Cross,"{'fast': 20, 'slow': 150}",122.39,1.79,-55.55,14.29,7
SOL/USD,SMA_Cross,"{'fast': 30, 'slow': 50}",-71.99,0.65,-84.59,21.05,19
SOL/USD,SMA_Cross,"{'fast': 30, 'slow': 100}",-61.12,0.66,-79.73,21.43,14
SOL/USD,SMA_Cross,"{'fast': 30, 'slow': 150}",160.02,1.85,-54.84,14.29,7
SOL/USD,MACD,"{'fast': 8, 'slow': 21, 'signal': 5}",-59.46,0.81,-85.72,38.95,95
SOL/USD,MACD,"{'fast': 8, 'slow': 21, 'signal': 9}",-59.37,0.78,-85.08,39.47,76
SOL/USD,MACD,"{'fast': 8, 'slow': 21, 'signal': 12}",-62.09,0.72,-89.19,41.18,68
SOL/USD,MACD,"{'fast': 8, 'slow': 26, 'signal': 5}",-37.53,0.87,-87.12,36.14,83
SOL/USD,MACD,"{'fast': 8, 'slow': 26, 'signal': 9}",-66.44,0.68,-92.98,42.25,71
SOL/USD,MACD,"{'fast': 8, 'slow': 26, 'signal': 12}",-79.57,0.53,-95.12,36.07,61
SOL/USD,MACD,"{'fast': 8, 'slow': 30, 'signal': 5}",-71.27,0.68,-91.22,32.14,84
SOL/USD,MACD,"{'fast': 8, 'slow': 30, 'signal': 9}",-61.06,0.73,-90.65,36.76,68
SOL/USD,MACD,"{'fast': 8, 'slow': 30, 'signal': 12}",-61.22,0.73,-94.79,33.9,59
SOL/USD,MACD,"{'fast': 12, 'slow': 21, 'signal': 5}",-62.48,0.81,-84.05,43.02,86
SOL/USD,MACD,"{'fast': 12, 'slow': 21, 'signal': 9}",-81.1,0.65,-92.04,39.19,74
SOL/USD,MACD,"{'fast': 12, 'slow': 21, 'signal': 12}",-88.93,0.5,-94.51,38.57,70
SOL/USD,MACD,"{'fast': 12, 'slow': 26, 'signal': 5}",-73.4,0.7,-88.48,36.49,74
SOL/USD,MACD,"{'fast': 12, 'slow': 26, 'signal': 9}",-74.25,0.58,-94.6,37.1,62
SOL/USD,MACD,"{'fast': 12, 'slow': 26, 'signal': 12}",-85.54,0.5,-94.85,40.98,61
SOL/USD,MACD,"{'fast': 12, 'slow': 30, 'signal': 5}",-78.95,0.6,-93.66,33.8,71
SOL/USD,MACD,"{'fast': 12, 'slow': 30, 'signal': 9}",-66.55,0.64,-94.24,43.1,58
SOL/USD,MACD,"{'fast': 12, 'slow': 30, 'signal': 12}",-81.78,0.56,-93.86,41.51,53
SOL/USD,MACD,"{'fast': 16, 'slow': 21, 'signal': 5}",-43.61,0.92,-82.87,46.96,115
SOL/USD,MACD,"{'fast': 16, 'slow': 21, 'signal': 9}",-89.5,0.63,-92.76,38.89,90
SOL/USD,MACD,"{'fast': 16, 'slow': 21, 'signal': 12}",-80.75,0.61,-90.21,41.77,79
SOL/USD,MACD,"{'fast': 16, 'slow': 26, 'signal': 5}",-84.33,0.6,-91.82,38.37,86
SOL/USD,MACD,"{'fast': 16, 'slow': 26, 'signal': 9}",-65.7,0.67,-92.0,39.71,68
